Timestamp,Speed (knots),Altitude (feet),Course (degrees),Pitch (degrees),Bank (degrees),Latitude,Longitude,Source,GPSModelName,FlightTitle
2024-08-23T22:53:08.72Z,73.52,3013.45,108.51,-2.27,70.78,33.320374,-86.815038,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:09.72Z,72.27,3003.28,104.73,-4.77,70.45,33.320289,-86.814651,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:10.72Z,73.52,2993.44,108.51,-4.54,70.78,33.320181,-86.814265,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:11.72Z,75.77,2983.27,104.03,-4.55,69.46,33.320096,-86.813858,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:12.72Z,76.00,2978.35,104.16,-2.20,69.43,33.320010,-86.813450,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:13.72Z,76.00,2968.50,104.16,-4.39,69.43,33.319924,-86.813042,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:14.72Z,80.86,2963.58,106.62,-2.07,68.69,33.319817,-86.812613,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:15.72Z,77.30,2958.33,107.58,-2.30,69.71,33.319709,-86.812205,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:16.72Z,80.86,2958.33,106.62,0.00,68.69,33.319602,-86.811776,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:17.72Z,76.00,2958.33,104.16,0.00,69.43,33.319516,-86.811368,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:18.72Z,80.86,2953.41,106.62,-2.07,68.69,33.319409,-86.810939,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:19.72Z,77.06,2953.41,107.46,0.00,69.75,33.319302,-86.810532,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:20.72Z,78.79,2953.41,110.73,0.00,69.89,33.319173,-86.810124,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:21.72Z,77.24,2953.41,107.42,0.00,69.70,33.319066,-86.809716,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:22.73Z,78.62,2953.41,110.77,0.00,69.94,33.318937,-86.809309,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:23.72Z,75.25,2953.41,111.75,0.00,70.89,33.318808,-86.808922,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:24.72Z,78.62,2953.41,110.77,0.00,69.94,33.318679,-86.808515,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:25.72Z,78.71,2953.41,110.58,0.00,69.89,33.318551,-86.808107,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:26.72Z,78.79,2953.41,110.72,0.00,69.89,33.318422,-86.807699,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:27.73Z,83.99,2953.41,112.71,0.00,69.02,33.318272,-86.807270,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:28.72Z,78.79,2953.41,110.72,0.00,69.89,33.318143,-86.806862,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:29.72Z,82.35,2958.33,109.79,2.03,68.90,33.318014,-86.806433,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:30.72Z,83.99,2963.58,112.71,2.12,69.02,33.317864,-86.806004,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:31.72Z,80.51,2973.43,113.75,4.14,69.99,33.317714,-86.805596,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:32.72Z,80.34,2983.27,113.80,4.15,70.04,33.317564,-86.805189,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:33.72Z,79.17,2993.44,118.01,4.35,70.96,33.317392,-86.804802,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:34.72Z,82.38,3008.53,116.83,6.19,70.06,33.317220,-86.804395,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:35.72Z,75.58,3018.37,119.28,4.41,71.94,33.317049,-86.804030,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:36.72Z,76.98,3023.29,115.09,2.17,71.01,33.316898,-86.803644,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:37.72Z,75.58,3028.54,119.28,2.36,71.94,33.316727,-86.803279,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:38.72Z,75.69,3028.54,119.42,0.00,71.94,33.316555,-86.802914,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:39.72Z,79.01,3028.54,118.07,0.00,71.00,33.316383,-86.802528,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:40.72Z,75.58,3028.54,119.28,0.00,71.94,33.316212,-86.802163,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:41.72Z,75.69,3028.54,119.42,0.00,71.94,33.316040,-86.801798,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:42.73Z,79.01,3028.54,118.07,0.00,71.00,33.315868,-86.801412,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:43.72Z,75.58,3033.46,119.28,2.21,71.94,33.315697,-86.801047,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:44.72Z,75.53,3033.46,119.49,0.00,71.99,33.315525,-86.800683,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:45.72Z,75.69,3038.39,119.42,2.21,71.94,33.315353,-86.800318,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:46.72Z,78.91,3043.31,117.93,2.12,71.00,33.315182,-86.799932,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:47.72Z,75.69,3043.31,119.42,0.00,71.94,33.315010,-86.799567,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:48.72Z,75.69,3048.56,119.42,2.35,71.94,33.314838,-86.799202,ForeFlight Mobile,Stratux,8AL1 - 41AL
2024-08-23T22:53:49.72Z,78.91,3048.56,117.93,0.00,71.00,33.314667,-86.798816,ForeFlight Mobile,Stratux,8AL1 - 41AL
